firstAudio,secondAudio,imageLoc,whichAudio,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,test1Loop.thisRepN,test1Loop.thisTrialN,test1Loop.thisN,test1Loop.thisIndex,test2Loop.thisRepN,test2Loop.thisTrialN,test2Loop.thisN,test2Loop.thisIndex,instructions.started,instructions.stopped,train2warning10.started,train2warning10.stopped,train2warning5.started,train2warning5.stopped,train2warning4.started,train2warning4.stopped,train2warning3.started,train2warning3.stopped,train2warning2.started,train2warning2.stopped,train2warning1.started,train2warning1.stopped,skipTrain2Instr.keys,skipTrain2Instr.rt,skipTrain2Instr.started,skipTrain2Instr.stopped,skipTest1Instr.keys,skipTest1Instr.rt,skipTest1Instr.started,skipTest1Instr.stopped,test1warning10.started,test1warning10.stopped,test1warning5.started,test1warning5.stopped,test1warning4.started,test1warning4.stopped,test1warning3.started,test1warning3.stopped,test1warning2.started,test1warning2.stopped,test1warning1.started,test1warning1.stopped,skipTest2Instr.keys,skipTest2Instr.rt,skipTest2Instr.started,skipTest2Instr.stopped,test2warning10.started,test2warning10.stopped,test2warning5.started,test2warning5.stopped,test2warning4.started,test2warning4.stopped,test2warning3.started,test2warning3.stopped,test2warning2.started,test2warning2.stopped,test2warning1.started,test2warning1.stopped,test2Audio1.started,test2Audio1.stopped,test2Audio1Sound.started,test2Audio1Sound.stopped,test1Audio2Mute.started,test1Audio2Mute.stopped,test2Audio2.started,test2Audio2.stopped,test2Audio2Mute1.started,test2Audio2Mute1.stopped,test2Audio2Sound.started,test2Audio2Sound.stopped,test2Audio2Mute2.started,test2Audio2Mute2.stopped,test2Response.keys,test2Response.rt,test2Response.started,test2Response.stopped,test2Image.started,test2Image.stopped,test2F.started,test2F.stopped,test2J.started,test2J.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,12.724485357291996,None,14.78253688965924,None,None,None,None,None,None,None,None,None,None,None,f,1.8741119301412255,14.78253688965924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Aug_05_1208,sonority,2020.1.3,59.9575748975068,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1.1337779976893216,16.692894307430834,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Aug_05_1208,sonority,2020.1.3,59.9575748975068,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.692894307430834,None,None,None,None,None,None,None,None,None,None,None,f,1.1783740618266165,17.866003760602325,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Aug_05_1208,sonority,2020.1.3,59.9575748975068,
novelaudio/61_pikati2.wav,novelaudio/61_pikati1.wav,pngimages/61_key.png,1,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.866003760602325,None,None,None,None,None,None,None,None,None,None,None,19.116923773894086,None,19.147248568944633,20.151525048539042,20.10231985617429,None,20.10205343517009,None,19.147248568944633,20.151525048539042,20.10231985617429,21.102892646100372,21.102892646100372,None,f,3.522640497656539,21.102892646100372,None,19.147248568944633,None,19.147248568944633,None,19.147248568944633,None,1,001,2020_Aug_05_1208,sonority,2020.1.3,59.9575748975068,
novelaudio/41_pototo2.wav,novelaudio/41_pototo1.wav,pngimages/41_piano.png,2,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.722117925877683,None,24.714041850995272,25.72311058570631,25.690159112447873,34.800241651711985,25.689717494067736,None,24.714041850995272,25.72311058570631,25.690159112447873,26.690713023534045,26.690713023534045,34.800241651711985,None,,26.690713023534045,34.800241651711985,24.714041850995272,None,24.714041850995272,None,24.714041850995272,None,1,001,2020_Aug_05_1208,sonority,2020.1.3,59.9575748975068,
novelaudio/79_katapi1.wav,novelaudio/79_katapi2.wav,pngimages/79_pig.png,1,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.45073839684483,None,35.45945084653795,36.465268610976636,36.449138360563666,None,36.44896746764425,None,35.45945084653795,36.465268610976636,36.449138360563666,37.449450242333114,37.449450242333114,None,f,3.305036927340552,37.449450242333114,None,35.45945084653795,35.45945084653795,35.45945084653795,35.45945084653795,35.45945084653795,35.45945084653795,1,001,2020_Aug_05_1208,sonority,2020.1.3,59.9575748975068,
novelaudio/32_kipoto2.wav,novelaudio/32_kipoto1.wav,pngimages/32_greenpepper.png,1,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.81913964438718,None,40.82198539515957,41.83625983586535,41.820194151951,None,41.82030908751767,None,40.82198539515957,41.83625983586535,41.820194151951,42.820326305227354,42.820326305227354,None,f,0.17254006140865386,42.820326305227354,None,40.82198539515957,None,40.82198539515957,None,40.82198539515957,None,1,001,2020_Aug_05_1208,sonority,2020.1.3,59.9575748975068,
novelaudio/34_kipaki2.wav,novelaudio/34_kipaki1.wav,pngimages/34_knife.png,1,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0705897056032,None,43.0697010315489,44.071865702047944,44.055413753027096,None,44.055005361675285,None,43.0697010315489,44.071865702047944,44.055413753027096,45.05557988840155,45.05557988840155,None,f,0.5185305310878903,45.05557988840155,None,43.0697010315489,None,43.0697010315489,None,43.0697010315489,None,1,001,2020_Aug_05_1208,sonority,2020.1.3,59.9575748975068,
novelaudio/59_tipoko2.wav,novelaudio/59_tipoko3.wav,pngimages/59_umbrella.png,1,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.65656084322836,None,45.660701393848285,46.673575387801975,46.65745495446026,None,46.6569227167638,None,45.660701393848285,46.673575387801975,46.65745495446026,47.657698871800676,47.657698871800676,None,f,3.0587628944776952,47.657698871800676,None,45.660701393848285,None,45.660701393848285,None,45.660701393848285,None,1,001,2020_Aug_05_1208,sonority,2020.1.3,59.9575748975068,
novelaudio/54_kapapa1.wav,novelaudio/54_kapapa3.wav,pngimages/54_toiletpaper.png,1,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.79389210254885,None,50.78756248950958,51.794653456192464,51.778270604554564,None,51.77794943435583,None,50.78756248950958,51.794653456192464,51.778270604554564,52.778884928440675,52.778884928440675,None,f,0.03667479706928134,52.778884928440675,None,50.78756248950958,None,50.78756248950958,None,50.78756248950958,None,1,001,2020_Aug_05_1208,sonority,2020.1.3,59.9575748975068,
